Date,Parent Category,Subcategory,Source,Merchant,Project,Client,Description,Tax 1 Amount,Tax 1 Type,Tax 2 Amount,Tax 2 Type,Amount,Currency,Cost of Goods Sold
8/31/2022,Contractors,Contractors (general),Jessica Mingo,GVC,,GRAND PALMS,Villa's closure for hurricane season,4,TGCA,0,,104,EUR,No
8/31/2022,Contractors,Contractors (general),Jessica Mingo,GVC,,GRAND PALMS,"Villa inspection prior to guests arrival 
guests: HOLLAND",1.8,TGCA,0,,46.8,EUR,No
8/31/2022,Contractors,Contractors (general),Jessica Mingo,A L'EAU PISCINES,,GRAND PALMS,Pool cleaning monthly fee,7.2,TGCA,0,,187.2,EUR,No
8/31/2022,Contractors,Contractors (general),Jessica Mingo,BAIO PIERRE,,GRAND PALMS,"Outside light repairing, replacement fan kit",3.42,TGCA,0,,88.92,EUR,No
8/31/2022,Contractors,Contractors (general),Jessica Mingo,R.F.E.D SASU,,GRAND PALMS,Garden cleaning monthly fee,18,TGCA,0,,468,EUR,No
8/31/2022,Utilities,Utilities (general),Jessica Mingo,DAUPHIN TELECOM,,GRAND PALMS,"Mobile monthly fee 
phone number: 0590 77 33 68",0.24,TGCA,0,,6.14,EUR,No
8/31/2022,Contractors,Contractors (general),Jessica Mingo,SECURITE PREVENTION INCENDIE,,GRAND PALMS,Maintenance and verification extinguisher,2.2,TGCA,0,,57.2,EUR,No
8/31/2022,Other Expenses,Wages,Jessica Mingo,THOMAS KATE,,GRAND PALMS,Salary August 2022,0,,0,,955.41,EUR,No
